Best: 0.696970 using {'batch_size': 10, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
61.28% (6.67%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
64.98% (5.30%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
61.62% (2.47%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
66.67% (5.71%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
63.30% (6.67%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
55.89% (3.43%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
62.63% (2.97%) with: {'batch_size': 5, 'epochs': 50, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
60.94% (1.26%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
61.28% (10.31%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
60.94% (3.81%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
57.58% (2.18%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
63.30% (4.15%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
60.61% (5.02%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
60.27% (3.12%) with: {'batch_size': 5, 'epochs': 50, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}
65.66% (2.86%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
58.59% (0.82%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
61.95% (8.58%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
57.24% (3.33%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
68.01% (5.61%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
62.63% (6.60%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
67.68% (5.77%) with: {'batch_size': 5, 'epochs': 100, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
61.28% (5.61%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
63.64% (5.15%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
61.28% (8.90%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
61.95% (0.95%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
60.61% (5.95%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 14}
64.31% (7.11%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 15}
59.26% (3.81%) with: {'batch_size': 5, 'epochs': 100, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 16}
58.25% (4.23%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 10}
57.24% (3.33%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 11}
62.29% (3.72%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 12}
61.95% (9.67%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 13}
60.61% (7.87%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 14}
62.63% (2.97%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 15}
66.33% (5.49%) with: {'batch_size': 5, 'epochs': 150, 'init': 'normal', 'optimizer': 'sgd', 'nodes': 16}
60.27% (5.24%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 10}
61.28% (6.08%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 11}
61.28% (6.19%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 12}
67.00% (2.65%) with: {'batch_size': 5, 'epochs': 150, 'init': 'uniform', 'optimizer': 'sgd', 'nodes': 13}
